name,code,long,gclat,gdlat,height,map
"AZM Martinsberg, Oed",G00,15.126,48.19043,48.38156,914.44086,http://www.openstreetmap.org?zoom=17&lon=15.126&lat=48.38156
Universitaetssternwarte Oldenburg,G01,8.16528,52.967987,53.152843,53.44744,http://www.openstreetmap.org?zoom=17&lon=8.16528&lat=53.152843
"KYSUCE Observatory, Kysucke Nove Mesto",G02,18.76539,49.116978,49.307312,460.80536,http://www.openstreetmap.org?zoom=17&lon=18.76539&lat=49.307312
"Capricornus Observatory, Csokako",G03,18.26061,47.171185,47.362995,361.55225,http://www.openstreetmap.org?zoom=17&lon=18.26061&lat=47.362995
"Schuelerlabor Astronomie St. 7, Wuppertal",G04,7.14133,51.042686,51.2307,385.88055,http://www.openstreetmap.org?zoom=17&lon=7.14133&lat=51.2307
"Piconcillo, Sierra Morena",G05,354.53363,37.99045,38.17728,582.288,http://www.openstreetmap.org?zoom=17&lon=354.53363&lat=38.17728
"Dordrecht, Sterrenburg",G06,4.6715,51.592007,51.779217,45.40183,http://www.openstreetmap.org?zoom=17&lon=4.6715&lat=51.779217
Millau Observatory,G07,3.06386,43.90371,44.096,464.35815,http://www.openstreetmap.org?zoom=17&lon=3.06386&lat=44.096
"Observatorio Les Pedritxes, Matadepera",G08,1.99694,41.42928,41.620266,703.8964,http://www.openstreetmap.org?zoom=17&lon=1.99694&lat=41.620266
"SWF Observatory, South Woodham Ferrers",G09,0.61056,51.46013,51.647537,55.562927,http://www.openstreetmap.org?zoom=17&lon=0.61056&lat=51.647537
"Clavier Observatory, Lora Del Rio",G10,354.45056,37.48187,37.667862,131.42943,http://www.openstreetmap.org?zoom=17&lon=354.45056&lat=37.667862
"Breitenweg Observatory, Herkenrath",G11,7.18379,50.804924,50.993275,247.04367,http://www.openstreetmap.org?zoom=17&lon=7.18379&lat=50.993275
"Sternwarte EG, Lippstadt",G12,8.3306,51.489033,51.676395,167.22989,http://www.openstreetmap.org?zoom=17&lon=8.3306&lat=51.676395
"Astronomihagen, Fannrem",G13,9.77169,63.058693,63.213825,69.51562,http://www.openstreetmap.org?zoom=17&lon=9.77169&lat=63.213825
"Novaloop Observatory, Mougins",G14,7.0052,43.41697,43.609127,257.7915,http://www.openstreetmap.org?zoom=17&lon=7.0052&lat=43.609127
"Magroforte Observatory, Alessandria",G15,9.1183,44.57961,44.772003,570.16064,http://www.openstreetmap.org?zoom=17&lon=9.1183&lat=44.772003
"OmegaLab Observatory, Palermo",G16,13.34869,37.91359,38.100307,93.1844,http://www.openstreetmap.org?zoom=17&lon=13.34869&lat=38.100307
"BAS Observatory, Scandicci",G17,11.20261,43.559925,43.752132,94.84383,http://www.openstreetmap.org?zoom=17&lon=11.20261&lat=43.752132
"ALMO Observatory, Padulle",G18,11.28056,44.43454,44.626934,59.391792,http://www.openstreetmap.org?zoom=17&lon=11.28056&lat=44.626934
"Immanuel Kant Observatory,Limbach",G19,12.746,50.67206,50.860588,360.49112,http://www.openstreetmap.org?zoom=17&lon=12.746&lat=50.860588
Brignoles Observatory,G20,6.05989,43.209152,43.401234,283.07806,http://www.openstreetmap.org?zoom=17&lon=6.05989&lat=43.401234
Osservatorio Castrofilippo,G21,13.73789,37.16171,37.347126,546.6084,http://www.openstreetmap.org?zoom=17&lon=13.73789&lat=37.347126
"Experimenta Observatory, Heilbronn",G22,9.21439,48.95399,49.14449,244.23424,http://www.openstreetmap.org?zoom=17&lon=9.21439&lat=49.14449
"Vulpecula Observatory, Budapest",G23,19.09234,47.397007,47.5887,151.02618,http://www.openstreetmap.org?zoom=17&lon=19.09234&lat=47.5887
Dettenhausen,G24,9.0935,48.421856,48.612816,479.99133,http://www.openstreetmap.org?zoom=17&lon=9.0935&lat=48.612816
Sherbrooke,G25,288.105,45.2232,45.41561,146.06993,http://www.openstreetmap.org?zoom=17&lon=288.105&lat=45.41561
"Fushan Observatory, Mt Shaohua",G26,109.8236,34.3289,34.508335,460.69296,http://www.openstreetmap.org?zoom=17&lon=109.8236&lat=34.508335
"Fabra Observatory, Montsec",G27,0.72935,41.860363,42.051655,1573.4491,http://www.openstreetmap.org?zoom=17&lon=0.72935&lat=42.051655
"Wyncroft Observatory, Attleborough",G28,1.0085,52.324986,52.510994,43.753162,http://www.openstreetmap.org?zoom=17&lon=1.0085&lat=52.510994
Requena,G29,358.9124,39.302647,39.491383,685.0841,http://www.openstreetmap.org?zoom=17&lon=358.9124&lat=39.491383
Casselman,G30,284.9072,45.113712,45.30613,60.411785,http://www.openstreetmap.org?zoom=17&lon=284.9072&lat=45.30613
CCAT Trieste,G31,13.7253,45.5223,45.714672,248.42908,http://www.openstreetmap.org?zoom=17&lon=13.7253&lat=45.714672
"Elena Remote Observatory, San Pedro de Atacama",G32,291.8204,-22.815407,-22.953232,2399.3982,http://www.openstreetmap.org?zoom=17&lon=291.8204&lat=-22.953232
Wickede,G33,7.60879,51.34124,51.528828,100.995895,http://www.openstreetmap.org?zoom=17&lon=7.60879&lat=51.528828
Oberfrauendorf,G34,13.7015,50.671535,50.86006,490.47983,http://www.openstreetmap.org?zoom=17&lon=13.7015&lat=50.86006
"Elephant Head Obsevatory, Sahuarita",G35,249.15788,31.772541,31.94505,930.4828,http://www.openstreetmap.org?zoom=17&lon=249.15788&lat=31.94505
Calar Alto-CASADO,G36,357.4525,37.03774,37.222885,2182.8625,http://www.openstreetmap.org?zoom=17&lon=357.4525&lat=37.222885
Lowell Discovery Telescope,G37,248.57748,34.56433,34.74428,2238.4397,http://www.openstreetmap.org?zoom=17&lon=248.57748&lat=34.74428
"Observatorio La Senda, Cabanillas del Campo",G38,356.76843,40.451046,40.64113,700.09204,http://www.openstreetmap.org?zoom=17&lon=356.76843&lat=40.64113
"ROAD, San Pedro de Atacama",G39,291.8204,-22.815279,-22.953102,2400.2966,http://www.openstreetmap.org?zoom=17&lon=291.8204&lat=-22.953102
Slooh.com Canary Islands Observatory,G40,343.49173,28.139431,28.299717,2370.0427,http://www.openstreetmap.org?zoom=17&lon=343.49173&lat=28.299717
"Insperity Observatory, Humble",G41,264.73816,29.800821,29.967073,22.185913,http://www.openstreetmap.org?zoom=17&lon=264.73816&lat=29.967073
"Observatorio Astronomico UAdeC, Saltillo",G42,259.023,25.278946,25.427828,1591.2561,http://www.openstreetmap.org?zoom=17&lon=259.023&lat=25.427828
"Observatorio Buenaventura Suarez, San Luis",G43,293.6879,-32.976242,-33.152184,835.5408,http://www.openstreetmap.org?zoom=17&lon=293.6879&lat=-33.152184
"Observatorio Longa Vista, Sao Paulo",G44,313.3061,-22.849224,-22.987242,816.5882,http://www.openstreetmap.org?zoom=17&lon=313.3061&lat=-22.987242
"Space Surveillance Telescope, Atom Site",G45,253.63564,33.561966,33.739418,2422.341,http://www.openstreetmap.org?zoom=17&lon=253.63564&lat=33.739418
Pinto Valley Observatory,G46,244.66153,35.04349,35.224567,1664.4406,http://www.openstreetmap.org?zoom=17&lon=244.66153&lat=35.224567
"HillTopTop Observatory, Edgewood",G47,253.80653,34.869045,35.049713,2085.559,http://www.openstreetmap.org?zoom=17&lon=253.80653&lat=35.049713
"Harlingten Research Observatory, Rancho Hildalgo",G48,251.10149,31.774416,31.946918,1345.382,http://www.openstreetmap.org?zoom=17&lon=251.10149&lat=31.946918
Minnetonka,G49,266.5943,44.761795,44.95421,296.27777,http://www.openstreetmap.org?zoom=17&lon=266.5943&lat=44.95421
"Organ Mesa Observatory, Las Cruces",G50,253.33,32.1225,32.29603,1375.1583,http://www.openstreetmap.org?zoom=17&lon=253.33&lat=32.29603
"Byrne Observatory, Sedgwick Reserve",G51,239.95778,34.51158,34.69146,326.87625,http://www.openstreetmap.org?zoom=17&lon=239.95778&lat=34.69146
"Stone Edge Observatory, El Verano",G52,237.49603,38.101685,38.288708,63.80363,http://www.openstreetmap.org?zoom=17&lon=237.49603&lat=38.288708
